"prior_neg","prior_singlet","prior_doublet","n_noise","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.01,0.85,0.14,6,0.803870967741935,0.752999381376126,0.803630173468029,0.780127120964013,0.803870967741935
0.01,0.85,0.14,7,0.810322580645161,0.753794377519308,0.80664153923729,0.787586082531127,0.810322580645161
0.01,0.9,0.09,4,0.812688172043011,0.752570815324233,0.806638639270902,0.790322212187852,0.812688172043011
0.01,0.9,0.09,5,0.810537634408602,0.752140391437422,0.805377980108397,0.78779884497752,0.810537634408602
0.01,0.9,0.09,6,0.810537634408602,0.750898888110531,0.805465271607523,0.787808644391964,0.810537634408602
0.01,0.9,0.09,7,0.815913978494624,0.753901702001035,0.808802378724275,0.794125853758769,0.815913978494624
0.01,0.95,0.04,4,0.818064516129032,0.752434302476654,0.808835613093059,0.796694109757341,0.818064516129032
0.01,0.95,0.04,5,0.815913978494624,0.749755865806206,0.807214929147264,0.79415011523656,0.815913978494624
0.01,0.95,0.04,6,0.815698924731183,0.751218202634571,0.807521375423997,0.79386145119745,0.815698924731183
0.01,0.95,0.04,7,0.819354838709677,0.751636967421283,0.809242785086973,0.798216710802899,0.819354838709677
0.05,0.5,0.45,4,0.196964804649661,0.240597573407296,0.261521520402501,0.243623131230513,0.196774193548387
0.05,0.5,0.45,5,0.466587754223609,0.515368314961054,0.556601103435083,0.473652774539164,0.466236559139785
0.05,0.5,0.45,6,0.678786574870912,0.679561617173872,0.727235534308818,0.656363983424518,0.678494623655914
0.05,0.5,0.45,7,0.727918235610543,0.713209736702435,0.760774577424598,0.702351575983816,0.72752688172043
0.05,0.6,0.35,4,0.376587045405638,0.433179288079552,0.47057762572052,0.396400555643701,0.376344086021505
0.05,0.6,0.35,5,0.716083916083916,0.703745994011434,0.752481476946075,0.689981912922824,0.715698924731183
0.05,0.6,0.35,6,0.746746962038929,0.724028533393791,0.772570573390018,0.720202820766096,0.746666666666667
0.05,0.6,0.35,7,0.765623319350328,0.734083346663886,0.78385237242485,0.738936759591597,0.765376344086022
0.05,0.7,0.25,4,0.700591715976331,0.69132923676404,0.741276695709007,0.675027477754467,0.700215053763441
0.05,0.7,0.25,5,0.772722383564591,0.737208935283199,0.786892334777272,0.74600543952496,0.77247311827957
0.05,0.7,0.25,6,0.773846650177439,0.737624059977004,0.787541450493536,0.747270642974301,0.773763440860215
0.05,0.7,0.25,7,0.789762340036563,0.747122354386648,0.797190590414533,0.764534513436595,0.789677419354839
0.05,0.8,0.15,4,0.792038730500269,0.747902461329686,0.798736249590558,0.766592555817014,0.791612903225806
0.05,0.8,0.15,5,0.801979133053673,0.747763014360909,0.800778389869747,0.777713623896915,0.801720430107527
0.05,0.8,0.15,6,0.799870953866007,0.750797486119282,0.801628907241862,0.775513911153581,0.799784946236559
0.05,0.8,0.15,7,0.809549413915475,0.75659852588107,0.807214539412992,0.78657973538461,0.809462365591398
0.05,0.85,0.1,4,0.812479827864443,0.754287797687586,0.807125102044019,0.78955368770214,0.812043010752688
0.05,0.85,0.1,5,0.809508443583952,0.751136133988104,0.804652358773092,0.786311009520159,0.809247311827957
0.05,0.85,0.1,6,0.809334337025487,0.75322947507241,0.80580960289328,0.786290849176619,0.809247311827957
0.05,0.85,0.1,7,0.814066028605226,0.753097568628444,0.807840315814211,0.791859961286967,0.813978494623656
0.05,0.9,0.05,4,0.818074233458849,0.753174149836009,0.809162484968962,0.796177723059864,0.81763440860215
0.05,0.9,0.05,5,0.814241153060127,0.749980750767659,0.806517066316436,0.791859408825303,0.813978494623656
0.05,0.9,0.05,6,0.814281105495214,0.751706488444176,0.807102152026604,0.792086371971553,0.814193548387097
0.05,0.9,0.05,7,0.818582643294978,0.751835426351019,0.809013079862192,0.797190587434486,0.818494623655914
0.1,0.5,0.4,4,0.232848680667744,0.281678950434074,0.306304237037812,0.275912131790508,0.23247311827957
0.1,0.5,0.4,5,0.577121930202499,0.602615014835564,0.649000218602127,0.565205423051939,0.576129032258065
0.1,0.5,0.4,6,0.705084015510556,0.697181451320642,0.744804749588398,0.679314327773608,0.703870967741935
0.1,0.5,0.4,7,0.742574257425743,0.722670640592639,0.77065804675015,0.716200534403521,0.741935483870968
0.1,0.6,0.3,4,0.496070621164819,0.535787826497275,0.580162218702573,0.495228620168674,0.495483870967742
0.1,0.6,0.3,5,0.744186046511628,0.722398831941235,0.771116121548746,0.716792803738441,0.743225806451613
0.1,0.6,0.3,6,0.756163203789428,0.728966236379465,0.778273839058745,0.728590432552089,0.755268817204301
0.1,0.6,0.3,7,0.772409340363715,0.737035501595586,0.787399696789306,0.745510625588262,0.771827956989247
0.1,0.7,0.2,4,0.75048439181916,0.724938791222865,0.774721081562254,0.72292491728613,0.749677419354839
0.1,0.7,0.2,5,0.78751345532831,0.74410425692136,0.794706626248726,0.761140454067903,0.786666666666667
0.1,0.7,0.2,6,0.784630287374879,0.743958237539301,0.793922051545514,0.75812061503841,0.783870967741935
0.1,0.7,0.2,7,0.798794921454702,0.751163657181659,0.801938581639504,0.773977196050092,0.798279569892473
0.1,0.8,0.1,4,0.811968571736089,0.755695212282334,0.80728429632004,0.788558374812043,0.811182795698925
0.1,0.8,0.1,5,0.809083082221266,0.750761963411532,0.804397603578753,0.785326524962087,0.808387096774194
0.1,0.8,0.1,6,0.809513560051657,0.753868241843183,0.806071498094696,0.785816575410021,0.808817204301075
0.1,0.8,0.1,7,0.814416352877891,0.75463965597586,0.808319506946561,0.791849439207162,0.813978494623656
0.1,0.85,0.05,4,0.817350123775697,0.752575043271433,0.808702819905682,0.794911816982015,0.816559139784946
0.1,0.85,0.05,5,0.814376412353384,0.750912645665332,0.806911582744776,0.791605799847273,0.813763440860215
0.1,0.85,0.05,6,0.814248816185966,0.75155071894355,0.807080800241866,0.791355755803718,0.813548387096774
0.1,0.85,0.05,7,0.818934911242604,0.752899351367,0.809448176597562,0.797193365763598,0.818494623655914
0.2,0.5,0.3,4,0.360319516407599,0.417155399926674,0.45341733679601,0.382717086416202,0.358924731182796
0.2,0.5,0.3,5,0.710875904525327,0.699958552694488,0.749162647906546,0.682482271625187,0.707741935483871
0.2,0.5,0.3,6,0.745748022966093,0.724093026711281,0.772393796151073,0.713888691584867,0.740215053763441
0.2,0.5,0.3,7,0.765754019991308,0.735718398083915,0.784870263816018,0.73136856001434,0.757849462365591
0.2,0.6,0.2,4,0.717981888745149,0.703188699907095,0.753623453910584,0.690157004106804,0.716129032258065
0.2,0.6,0.2,5,0.7795403043056,0.741368662792032,0.791401629412346,0.750637157936018,0.776774193548387
0.2,0.6,0.2,6,0.778617710583153,0.740465899921185,0.790798358023843,0.748966996923484,0.775268817204301
0.2,0.6,0.2,7,0.794209787188074,0.74982582270726,0.800131779931321,0.765528893211224,0.790537634408602
0.2,0.7,0.1,4,0.808923375363725,0.754084524362278,0.806023485484354,0.783882280932335,0.807096774193548
0.2,0.7,0.1,5,0.809189947147018,0.751974710523445,0.804986055264708,0.783369624572277,0.806666666666667
0.2,0.7,0.1,6,0.808799741184083,0.754316067845603,0.806258829157357,0.783127006567565,0.806451612903226
0.2,0.7,0.1,7,0.81466307277628,0.756262343626022,0.809421969047323,0.790122439290595,0.81247311827957
0.3,0.5,0.2,4,0.656206038307543,0.65790606853967,0.707967552892434,0.630946563766465,0.652043010752688
