"prior_neg","prior_singlet","prior_doublet","n_noise","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.1,0.5,0.4,7,0.948242398102221,0.927077388043174,0.957424870624764,0.939782893981358,0.945591397849462
0.1,0.6,0.3,4,0.878190630048465,0.867272563581552,0.912152314051638,0.869273162340062,0.876774193548387
0.1,0.6,0.3,5,0.907993966817496,0.890276120210087,0.93102833319397,0.89881311533312,0.906236559139785
0.1,0.6,0.3,6,0.928748517839819,0.907857749693129,0.944389588129424,0.919601487142995,0.926451612903226
0.1,0.6,0.3,7,0.952452830188679,0.931596856873575,0.960432263872039,0.944407371514759,0.94989247311828
0.1,0.7,0.2,4,0.892837910608508,0.87821074152653,0.921452909517532,0.883840979856417,0.891397849462366
0.1,0.7,0.2,5,0.915319974143504,0.89616388792281,0.935719358493246,0.906262400474515,0.913548387096774
0.1,0.7,0.2,6,0.93339081698642,0.911986187089891,0.9474777618604,0.924541548393899,0.931182795698925
0.1,0.7,0.2,7,0.958274932614555,0.938095059282601,0.964525476181458,0.950646963114699,0.955698924731183
0.1,0.8,0.1,4,0.907818220977816,0.890199986955563,0.931092399135019,0.899101412946007,0.906451612903226
0.1,0.8,0.1,5,0.92436974789916,0.903820413301321,0.941587710309103,0.915573028722008,0.92258064516129
0.1,0.8,0.1,6,0.943091183444708,0.921599686713741,0.953985839155063,0.934768529548474,0.940860215053763
0.1,0.8,0.1,7,0.964097035040431,0.945092052200342,0.968814556949915,0.956952350869843,0.961505376344086
0.1,0.85,0.05,4,0.917079474477708,0.897836011912186,0.937074912154483,0.908584006764453,0.915698924731183
0.1,0.85,0.05,5,0.935789700495583,0.914335820987679,0.949166801582119,0.927518999175229,0.933978494623656
0.1,0.85,0.05,6,0.948264712222462,0.926888717322329,0.957572839846939,0.940275293283711,0.946021505376344
0.1,0.85,0.05,7,0.966900269541779,0.948893005633357,0.970901571495755,0.960007575766305,0.964301075268817
0.2,0.5,0.3,4,0.87722324027164,0.866378966833004,0.911366268986929,0.867604709147474,0.87505376344086
0.2,0.5,0.3,5,0.906660918301358,0.88914481023883,0.930170353331518,0.897034541851222,0.904516129032258
0.2,0.5,0.3,6,0.922048517520216,0.901856761848831,0.93996821961026,0.912425534260131,0.919569892473118
0.2,0.5,0.3,7,0.951456310679612,0.93059172529276,0.959624227831115,0.942762534861399,0.948387096774194
0.2,0.6,0.2,4,0.889727282526679,0.875522551848107,0.919283668988644,0.879987868876578,0.88752688172043
0.2,0.6,0.2,5,0.914636775167062,0.895585289065943,0.935276868087804,0.905136180292452,0.91247311827957
0.2,0.6,0.2,6,0.933160845191893,0.911948456158193,0.947370094097897,0.924115814476119,0.930752688172043
0.2,0.6,0.2,7,0.956850053937432,0.936478582430619,0.963458246824958,0.948538058362954,0.953763440860215
0.2,0.7,0.1,4,0.907367514002585,0.889850523152681,0.930801595491239,0.898432537935465,0.905806451612903
0.2,0.7,0.1,5,0.924121577926277,0.903783177522369,0.941470999606197,0.914923134789664,0.921935483870968
0.2,0.7,0.1,6,0.940275981026304,0.91874010331256,0.952129339587991,0.931579015848707,0.937849462365591
0.2,0.7,0.1,7,0.963218638766045,0.944055008820781,0.968096441755524,0.955531087309759,0.960215053763441
0.3,0.5,0.2,4,0.880767572229409,0.868934738307411,0.91355823875607,0.870984472169592,0.878494623655914
0.3,0.5,0.2,5,0.910384988676804,0.89174124877018,0.932381003796297,0.900333696039142,0.907741935483871
0.3,0.5,0.2,6,0.929264610739702,0.908334697675781,0.944690939360761,0.919807209848841,0.926666666666667
0.3,0.5,0.2,7,0.954869358669834,0.933739305772293,0.961716029613618,0.945526330703397,0.950967741935484
0.3,0.6,0.1,4,0.90244691171715,0.885601939693362,0.927410847531978,0.892767329795654,0.900215053763441
0.3,0.6,0.1,5,0.921202975099709,0.901195027232692,0.939515314964433,0.911782455587302,0.918924731182796
0.3,0.6,0.1,6,0.939514824797844,0.917985966926859,0.951574234929496,0.930656232176805,0.936989247311828
0.3,0.6,0.1,7,0.963186872503509,0.943500585467598,0.967806428158808,0.954613060642471,0.959354838709677
0.4,0.5,0.1,4,0.897897574123989,0.881887433671053,0.924494536213118,0.887969320561383,0.895483870967742
0.4,0.5,0.1,5,0.919227865847083,0.899215893620628,0.938111772322055,0.909398590325672,0.916559139784946
0.4,0.5,0.1,6,0.940021574973031,0.91811140401054,0.95174223056515,0.930693678323547,0.936989247311828
0.4,0.5,0.1,7,0.960259179265659,0.940059911494326,0.96554051104551,0.951087204088533,0.956129032258065
